Entry	Length	EC number	Keywords	Gene Ontology (molecular function)
A0A009IHW8	269	3.2.2.-; 3.2.2.6	3D-structure;Coiled coil;Hydrolase;NAD	NAD+ nucleosidase activity [GO:0003953]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; NADP+ nucleosidase activity [GO:0050135]
A0A023I7E1	796	3.2.1.39	3D-structure;Carbohydrate metabolism;Cell wall;Cell wall biogenesis/degradation;Glycoprotein;Glycosidase;Hydrolase;Polysaccharide degradation;Secreted;Signal	endo-1,3(4)-beta-glucanase activity [GO:0052861]; glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]
A0A024RXP8	514	3.2.1.91	Carbohydrate metabolism;Cellulose degradation;Disulfide bond;Glycoprotein;Glycosidase;Hydrolase;Polysaccharide degradation;Pyrrolidone carboxylic acid;Secreted;Signal	cellulose 1,4-beta-cellobiosidase activity [GO:0016162]; cellulose binding [GO:0030248]
A0A024SC78	248	3.1.1.74	3D-structure;Disulfide bond;Hydrolase;Secreted;Serine esterase;Signal	cutinase activity [GO:0050525]
A0A024SH76	471	3.2.1.91	Carbohydrate metabolism;Cellulose degradation;Disulfide bond;Glycoprotein;Glycosidase;Hydrolase;Polysaccharide degradation;Pyrrolidone carboxylic acid;Secreted;Signal	cellulose 1,4-beta-cellobiosidase activity [GO:0016162]; cellulose binding [GO:0030248]
A0A026W182	478		Behavior;Cell membrane;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	odorant binding [GO:0005549]; olfactory receptor activity [GO:0004984]
A0A044RE18	693	3.4.21.75	Autocatalytic cleavage;Calcium;Cleavage on pair of basic residues;Disulfide bond;Glycoprotein;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]
A0A059TC02	333	1.2.1.44	3D-structure;Cytoplasm;Disulfide bond;Lignin biosynthesis;NADP;Nucleotide-binding;Oxidoreductase;Phenylpropanoid metabolism	cinnamoyl-CoA reductase activity [GO:0016621]; nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]
A0A059WI14	161	1.13.11.-	Detoxification;Dioxygenase;Iron;Metal-binding;Oxidoreductase	methyltransferase activity [GO:0008168]
A0A060A682	742		Cell junction;Cell membrane;Disulfide bond;Fertilization;Lipid-binding;Membrane;Signal;Transmembrane;Transmembrane helix	fusogenic activity [GO:0140522]; lipid binding [GO:0008289]
A0A061I403	455	2.7.7.108; 3.1.4.-	ATP-binding;Endoplasmic reticulum;Glycoprotein;Hydrolase;Magnesium;Manganese;Membrane;Nucleotide-binding;Nucleotidyltransferase;Phosphoprotein;Reference proteome;Repeat;Signal-anchor;TPR repeat;Transferase;Transmembrane;Transmembrane helix;Unfolded protein response	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]
A0A067CMC7	211	3.1.31.-	Calcium;Endonuclease;Glycoprotein;Host cytoplasm;Hydrolase;Metal-binding;Nuclease;Reference proteome;Secreted;Signal;Virulence	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]
A0A067XGX8	512	2.5.1.54	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Chloroplast;Manganese;Metal-binding;Plastid;Transferase;Transit peptide	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]; metal ion binding [GO:0046872]
A0A067XH53	533	2.5.1.54	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Chloroplast;Manganese;Metal-binding;Plastid;Transferase;Transit peptide	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]; metal ion binding [GO:0046872]
A0A067XR63	268	2.4.1.207	Cell wall biogenesis/degradation;Cytoplasm;Disulfide bond;Fruit ripening;Glycoprotein;Glycosidase;Glycosyltransferase;Hydrolase;Transferase	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; xyloglucan:xyloglucosyl transferase activity [GO:0016762]
A0A067XRK9	299	2.4.1.207	Apoplast;Cell wall;Cell wall biogenesis/degradation;Disulfide bond;Fruit ripening;Glycoprotein;Glycosidase;Glycosyltransferase;Hydrolase;Secreted;Signal;Transferase	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; xyloglucan:xyloglucosyl transferase activity [GO:0016762]
